ral,rgb,hex,german,english,french,spanish,italian,nederlands
ral 1000,190-189-127,#bebd7f,grünbeige,green beige,beige vert,beige verdoso,beige verdastro,groenbeige
ral 1001,194-176-120,#c2b078,beige,beige,beige,beige,beige,beige
ral 1002,198-166-100,#c6a664,sandgelb,sand yellow,jaune sable,amarillo arena,giallo sabbia,zandgeel
ral 1003,229-190-001,#e5be01,signalgelb,signal yellow,jaune de sécurité,amarillo señales,giallo segnale,signaalgeel
ral 1004,205-164-052,#cda434,goldgelb,golden yellow,jaune or,amarillo oro,giallo oro,goudgeel
ral 1005,169-131-007,#a98307,honiggelb,honey yellow,jaune miel,amarillo miel,giallo miele,honinggeel
ral 1006,228-160-016,#e4a010,maisgelb,maize yellow,jaune maïs,amarillo maiz,giallo polenta,maisgeel
ral 1007,220-156-000,#dc9d00,narzissengelb,daffodil yellow,jaune narcisse,amarillo narciso,giallo narciso,narcissengeel
ral 1011,138-102-066,#8a6642,braunbeige,brown beige,beige brun,beige pardo,beige marrone,bruinbeige
ral 1012,199-180-070,#c7b446,zitronengelb,lemon yellow,jaune citron,amarillo limón,giallo limone,citroengeel
ral 1013,234-230-202,#eae6ca,perlweiß,oyster white,blanc perlé,blanco perla,bianco perla,parelwit
ral 1014,225-204-079,#e1cc4f,elfenbein,ivory,ivoire,marfil,avorio,ivoorkleurig
ral 1015,230-214-144,#e6d690,hellelfenbein,light ivory,ivoire clair,marfil claro,avorio chiaro,licht ivoorkleurig
ral 1016,237-255-033,#edff21,schwefelgelb,sulfur yellow,jaune soufre,amarillo azufre,giallo zolfo,zwavelgeel
ral 1017,245-208-051,#f5d033,safrangelb,saffron yellow,jaune safran,amarillo azafrán,giallo zafferano,saffraangeel
ral 1018,248-243-053,#f8f32b,zinkgelb,zinc yellow,jaune zinc,amarillo de zinc,giallo zinco,zinkgeel
ral 1019,158-151-100,#9e9764,graubeige,grey beige,beige gris,beige agrisado,beige grigiastro,grijsbeige
ral 1020,153-153-080,#999950,olivgelb,olive yellow,jaune olive,amarillo oliva,giallo olivastro,olijfgeel
ral 1021,243-218-011,#f3da0b,rapsgelb,rape yellow,jaune colza,amarillo colza,giallo navone,koolzaadgeel
ral 1023,250-210-001,#fad201,verkehrsgelb,traffic yellow,jaune signalisation,amarillo tráfico,giallo traffico,verkeersgeel
ral 1024,174-160-075,#aea04b,ockergelb,ochre yellow,jaune ocre,amarillo ocre,giallo ocra,okergeel
ral 1026,255-255-000,#ffff00,leuchtgelb,luminous yellow,jaune brillant,amarillo brillante,giallo brillante,briljantgeel
ral 1027,157-145-001,#9d9101,currygelb,curry,jaune curry,amarillo curry,giallo curry,kerriegeel
ral 1028,244-169-000,#f4a900,melonengelb,melon yellow,jaune melon,amarillo melón,giallo melone,meloengeel
ral 1032,214-174-001,#d6ae01,ginstergelb,broom yellow,jaune genêt,amarillo retama,giallo scopa,bremgeel
ral 1033,243-165-005,#f3a505,dahliengelb,dahlia yellow,jaune dahlia,amarillo dalia,giallo dahlien,dahliageel
ral 1034,239-169-074,#efa94a,pastellgelb,pastel yellow,jaune pastel,amarillo pastel,giallo pastello,pastelgeel
ral 1035,106-093-077,#6a5d4d,perlbeige,pearl beige,beige nacré,beige perlado,beige perlato,parelmoergrijs
ral 1036,112-083-053,#705335,perlgold,pearl gold,or nacré,oro perlado,oro perlato,parelmoergoud
ral 1037,243-159-024,#f39f18,sonnengelb,sun yellow,jaune soleil,amarillo sol,giallo sole,zonnegeel
ral 2000,237-118-014,#ed760e,gelborange,yellow orange,orangé jaune,amarillo naranja,arancio giallastro,geeloranje
ral 2001,201-060-032,#c93c20,rotorange,red orange,orangé rouge,rojo anaranjado,arancio rossastro,roodoranje
ral 2002,203-040-033,#cb2821,blutorange,vermilion,orangé sang,naranja sanguineo,arancio sanguigno,vermiljoen
ral 2003,255-117-020,#ff7514,pastellorange,pastel orange,orangé pastel,naranja pálido,arancio pastello,pasteloranje
ral 2004,244-070-017,#f44611,reinorange,pure orange,orangé pur,naranja puro,arancio puro,zuiver oranje
ral 2005,255-035-001,#ff2301,leuchtorange,luminous orange,orangé brillant,naranja brillante,arancio brillante,briljant oranje
ral 2007,255-164-032,#ffa420,leuchthellorange,luminous bright orange,orangé clair rillant,naranja claro brillante,arancio chiaro brillante,briljant lichtoranje
ral 2008,247-094-037,#f75e25,hellrotorange,bright red orange,orangé rouge clair,rojo claro anaranjado,rosso arancio chiaro,licht roodoranje
ral 2009,245-064-033,#f54021,verkehrsorange,traffic orange,orangé signalisation,naranja tráfico,arancio traffico,verkeersoranje
ral 2010,216-075-032,#d84b20,signalorange,signal orange,orangé de sécurité,naranja señales,arancio segnale,signaaloranje
ral 2011,236-124-038,#ec7c26,tieforange,deep orange,orangé foncé,naranja intenso,arancio profondo,dieporanje
ral 2012,235-106-014,#e55137,lachsorange,salmon range,orangé saumon,naranja salmón,arancio salmone,zalmoranje
ral 2013,195-088-049,#c35831,perlorange,pearl orange,orangé nacré,naranja perlado,arancio perlato,parelmoeroranje
ral 3000,175-043-030,#af2b1e,feuerrot,flame red,rouge feu,rojo vivo,rosso fuoco,vuurrood
ral 3001,165-032-025,#a52019,signalrot,signal red,rouge de sécurité,rojo señales,rosso  segnale,signaalrood
ral 3002,162-035-029,#a2231d,karminrot,carmine red,rouge carmin,rojo carmin,rosso carminio,karmijnrood
ral 3003,155-017-030,#9b111e,rubinrot,ruby red,rouge rubis,rojo rubí,rosso rubino,robijnrood
ral 3004,117-021-030,#75151e,purpurrot,purple red,rouge pourpre,rojo purpura,rosso porpora,purperrood
ral 3005,094-033-041,#5e2129,weinrot,wine red,rouge vin,rojo vino,rosso vino,wijnrood
ral 3007,065-034-039,#412227,schwarzrot,black red,rouge noir,rojo negruzco,rosso nerastro,zwartrood
ral 3009,100-036-036,#642424,oxidrot,oxide red,rouge oxyde,rojo óxido,rosso  ossido,oxyderood
ral 3011,120-031-025,#781f19,braunrot,brown red,rouge brun,rojo pardo,rosso marrone,bruinrood
ral 3012,193-135-107,#c1876b,beigerot,beige red,rouge beige,rojo beige,rosso beige,beigerood
ral 3013,161-035-018,#a12312,tomatenrot,tomato red,rouge tomate,rojo tomate,rosso pomodoro,tomaatrood
ral 3014,211-110-112,#d36e70,altrosa,antique pink,vieux rose,rojo viejo,rosa antico,oudroze
ral 3015,234-137-154,#ea899a,hellrosa,light pink,rose clair,rosa claro,rosa chiaro,lichtroze
ral 3016,179-040-033,#b32821,korallenrot,coral red,rouge corail,rojo coral,rosso corallo,koraalrood
ral 3017,230-050-068,#e63244,rosé,rose,rosé,rosa,rosato,bleekrood
ral 3018,213-048-050,#d53032,erdbeerrot,strawberry red,rouge fraise,rojo fresa,rosso fragola,aardbeirood
ral 3020,204-006-005,#cc0605,verkehrsrot,traffic red,rouge signalisation,rojo tráfico,rosso traffico,verkeersrood
ral 3022,217-080-048,#d95030,lachsrot,salmon pink,rouge saumon,rojo salmón,rosso salmone,zalmrood
ral 3024,248-000-000,#f80000,leuchtrot,luminous red,rouge brillant,rojo brillante,rosso brillante,briljantrood
ral 3026,254-000-000,#fe0000,leuchthellrot,"luminous bright red",rouge clair brillant,rojo claro brillante,rosso chiaro brillante,briljant lichtrood
ral 3027,197-029-052,#c51d34,himbeerrot,raspberry red,rouge framboise,rojo frambuesa,rosso lampone,framboosrood
ral 3028,203-050-052,#cb3234,reinrot,pure  red,rouge puro,rojo puro,rosso puro,zuiverrood
ral 3031,179-036-040,#b32428,orientrot,orient red,rouge oriental,rojo oriente,rosso oriente,oriëntrood
ral 3032,114-020-034,#721422,perlrubinrot,pearl ruby red,rouge rubis nacré,rojo rubí perlado,rosso rubino perlato,"parelmoer-donkerrood"
ral 3033,180-076-067,#b44c43,perlrosa,pearl pink,rose nacré,rosa perlado,rosa perlato,"parelmoer-lichtrood"
ral 4001,222-076-138,#6d3f5b,rotlila,red lilac,lilas rouge,rojo lila,lilla rossastro,roodlila
ral 4002,146-043-062,#922b3e,rotviolett,red violet,violet rouge,rojo violeta,viola rossastro,roodpaars
ral 4003,222-076-138,#de4c8a,erikaviolett,heather violet,violet bruyère,violeta érica,viola erica,heidepaars
ral 4004,110-028-052,#641c34,bordeauxviolett,claret violet,violet bordeaux,burdeos,viola bordeaux,bordeauxpaars
ral 4005,108-070-117,#6c4675,blaulila,blue lilac,lilas bleu,lila azulado,lilla bluastro,blauwlila
ral 4006,160-052-114,#a03472,verkehrspurpur,traffic purple,pourpre signalisation,púrpurá tráfico,porpora traffico,verkeerspurper
ral 4007,074-025-044,#4a192c,purpurviolett,purple violet,violet pourpre,violeta púrpura,porpora violetto,purperviolet
ral 4008,144-070-132,#924e7d,signalviolett,signal violet,violet de sécurité,violeta señales,violetto segnale,signaalviolet
ral 4009,164-125-144,#a18594,pastellviolett,pastel violet,violet pastel,violeta pastel,violetto pastello,pastelviolet
ral 4010,215-045-109,#cf3476,telemagenta,telemagenta,telemagenta,magenta tele,tele magenta,telemagenta
ral 4011,134-115-161,#8673a1,perlviolett,pearl violet,violet nacré,violeta perlado,violetto perlato,"parelmoer-donkerviolet"
ral 4012,108-104-129,#6c6874,perlbrombeer,pearl black berry,mûre nacré,morado perlado,mora perlato,"parelmoer-lichtviolet"
ral 5000,042-046-075,#354d73,violettblau,violet blue,bleu violet,azul violeta,blu violaceo,paarsblauw
ral 5001,031-052-056,#1f3438,grünblau,green blue,bleu vert,azul verdoso,blu verdastro,groenblauw
ral 5002,032-033-079,#20214f,ultramarinblau,ultramarine blue,bleu outremer,azul ultramar,blu oltremare,ultramarijnblauw
ral 5003,029-030-051,#1d1e33,saphirblau,saphire blue,bleu saphir,azul zafiro,blu zaffiro,saffierblauw
ral 5004,032-033-079,#18171c,schwarzblau,black blue,bleu noir,azul negruzco,blu nerastro,zwartblauw
ral 5005,030-045-110,#1e2460,signalblau,signal blue,bleu de sécurité,azul señales,blu segnale,signaalblauw
ral 5007,062-095-138,#3e5f8a,brillantblau,brillant blue,bleu brillant,azul brillante,blu brillante,briljantblauw
ral 5008,038-037-045,#26252d,graublau,grey blue,bleu gris,azul grisáceo,blu grigiastro,grijsblauw
ral 5009,002-086-105,#025669,azurblau,azure blue,bleu azur,azul azur,blu  azzurro,azuurblauw
ral 5010,014-041-075,#0e294b,enzianblau,gentian blue,bleu gentiane,azul genciana,blu  genziana,gentiaanblauw
ral 5011,035-026-036,#231a24,stahlblau,steel blue,bleu acier,azul acero,blu acciaio,staalblauw
ral 5012,059-131-189,#3b83bd,lichtblau,light blue,bleu clair,azul luminoso,blu luce,lichtblauw
ral 5013,037-041-074,#1e213d,kobaltblau,cobalt blue,bleu cobalt,azul cobalto,blu cobalto,kobaltblauw
ral 5014,096-111-140,#606e8c,taubenblau,pigeon blue,bleu pigeon,azul olombino,blu colomba,duifblauw
ral 5015,034-113-179,#2271b3,himmelblau,sky blue,bleu ciel,azul celeste,blu cielo,hemelsblauw
ral 5017,006-057-113,#063971,verkehrsblau,traffic blue,bleu signalisation,azul tráfico,blu traffico,verkeersblauw
ral 5018,063-136-143,#3f888f,türkisblau,turquoise blue,bleu turquoise,azul turquesa,blu turchese,turkooisblauw
